#,Course ID,Section,Class Name,Instructor,Department
72,MUSC 262,1,HNU Chamber Ensemble,Hofer,Music
73,MUSC 263,1,HNU Orchestra,Hofer,Music
74,MUSC 264,1,Advanced Piano Ensemble,Varney,Music
75,MUSC 265,1,Advanced Accompanying,Hofer,Music
76,MUSC 281B,1,Choral Conducting,Horvath,Music
77,MUSC 290A,1,Recital,Howe,Music
78,MUSC 290B,1,Recital,Hofer,Music
79,MUSC 291A,1,Master's Project,Howe,Music
80,MUSC 296B,1,Practicum,Laskey,Music
81,MUSC 296D,1,Practicum/Piano,Chung,Music
82,MUSC 296F,1,Practicum/Vocal,Howe,Music
83,NURS 253L,1,Primary Care Thru Lifespan IV Lab,,Nursing
84,SPIR 201 4,1,Core Cs: Geo-Wisdom-Cosmol&Hum Spirit,Conlon,Spirituality
85,SPIR 204,1,Core Course: Weekend Component,Conlon,Spirituality
86,SPIR 204 2,1,Core Course Weekend Component,Conlon,Spirituality
87,SPIR 211B,1,Public Forum,Conlon,Spirituality
88,SPIR 212,1,Sophia Wisdom Circle,Conlon,Spirituality
89,SPIR 213,1,Sophia Praxis,Conlon,Spirituality
90,SPIR 213 3,1,Sophia Praxis,Conlon,Spirituality
91,SPIR 225,1,Visions of the Future,,Spirituality
92,SPIR 227,1,Mystics of Modern World,Flinders,Spirituality
93,SPIR 265,1,Archtypal Myth. DreamWork,Friedman,Spirituality
94,SPIR 290B,1,Cosmology & the Human Spirit,Conlon,Spirituality
95,SPIR 291B,1,"Spirit of Earth, Art, Spirit",Conlon,Spirituality
96,SPIR 298,1,Master's Project,Conlon,Spirituality
1,NURS 251AL,1,Primary Care I Lab,,Nursing
2,NURS 251BL,1,Primary Care II Lab,,Nursing
3,NURS 252L,1,Primary Care Thru Lifespan III Lab,,Nursing
1,EDUC 305,1,Latino Culture,McCall-Perez,Education
2,EDUC 320A,1,Student Teaching Introduction: Single Subject,,Education
3,EDUC 320B,1,Student Teaching Practicum: Single Subject,Hamadeh,Education
4,EDUC 320C,1,Student Teaching in the Secondary School,Epstein,Education
5,EDUC 320C 10,1,Student Teaching in the Secondary School,Epstein,Education
6,EDUC 320C 9,1,Student Teaching in the Secondary School,Epstein,Education
7,EDUC 320I,1,Internship Teaching in a Secondary School,Epstein,Education
8,EDUC 320I 1,1,Internship Teaching,Epstein,Education
9,EDUC 320I 3,1,Internship Teaching in Secondary School,Epstein,Education
10,EDUC 320I 5,1,Internship Teaching in Secondary School,Epstein,Education
11,EDUC 329,1,PACT 2 Support,Maestre,Education
12,EDUC 329,2,PACT 2 Support,Henderson,Education
13,EDUC 330A,1,Student Teaching in the Elementary School,Johnson,Education
14,EDUC 330B,1,Internship Teaching: Multiple Subject,Maestre,Education
15,EDUC 330C,1,Student Teaching in the Elementary School,Johnson,Education
16,EDUC 330I,1,Internship Teaching:MultipleSubject,Maestre,Education
17,EDUC 330I 2,1,"Internship Teaching, Multi-Subject",Maestre,Education
18,EDUC 330I 3,1,"Internship Teaching, Multiple Subject",Maestre,Education
19,EDUC 331,1,C & I Elementary School: Mathematics,Ruiz,Education
20,EDUC 334,1,Curr/Instr Elementary School: Reading,Loecher,Education
21,EDUC 335,1,Curr/Instr Secondary School: Reading,Richter,Education
22,EDUC 341,1,C&I Elementary Schools for Special Educ Teachers:Mathematics,Ruiz,Education
23,EDUC 361,1,"Field Studies Practicum, MM Disabilities",Parker-West,Education
24,EDUC 361I,1,Special Education Internship Teaching,Parker-West,Education
1,CPSY 408,1,Substance Abuse Assessment and Treatment,Franskoviak,Counseling Psychology
2,CPSY 409A,1,"Assess, Diagnosis and Treatment of Victim",Gallo,Counseling Psychology
3,CPSY 409B,1,"Assess, Diagnosis and Treatment of the Offender",Gallo,Counseling Psychology
4,CPSY 412,1,Forensic Psychology Prof. Prac Sem,Kelley,Counseling Psychology
5,CPSY 426,1,Adv Issues in Correct & Community Counseling,Byars,Counseling Psychology
6,CPSY 473,1,Traumatology and Demographics,Walsh,Counseling Psychology
7,CPSY 474,1,"Neurobiology of Trauma: Risk,Resiliency &PositivePsychology",,Counseling Psychology
8,CPSY 485,1,Intro to Supervised Practicum/Case Seminar,Strouzas,Counseling Psychology
9,CPSY 490,1,Supervised Practicum and Case Seminar I,Shoemaker,Counseling Psychology
10,CPSY 490,2,Supervised Practicum and Case Seminar I,Silva,Counseling Psychology
11,CPSY 495,1,Supervised Practicum & Case Seminar,Shoemaker,Counseling Psychology
12,EDUC 400,1,Social Foundations in Education,Mayfield,Education
13,EDUC 401,1,Educational Psychology,Henderson,Education
14,EDUC 402B,1,Multicultural Education,Epstein,Education
15,EDUC 434,1,Curr/Instr Elementary School: Reading,Loecher,Education
16,EDUC 459,1,Neuropsychological Principles in Education,,Education
17,EDUC 460,1,Practicum for Educational Therapists,Marshall,Education
18,EDUC 466,1,Practicum in Assessment,Marshall,Education
19,EDUC 467,1,Counseling/Collaboration Skills for Professionals,Kosmos,Education
20,EDUC 468A,1,Role of the Educational Therapist,Marshall,Education
21,EDUC 471,1,Technology for Students with MM Disabilities,Pachelo,Education
22,NURS 451AL,1,Primary Care I Lab,,Nursing
23,NURS 451BL,1,Primary Care II Lab,,Nursing
24,NURS 452L,1,Primary Care Thru Lifespan III,,Nursing
25,NURS 453L,1,Primary Care Thru Lifespan IV Lab,,Nursing
26,SPIR 401,1,Core Cs: Geo-Wisdom-Cosmol/Hum Spirit,Conlon,Spirituality
27,SPIR 404,1,Core Course Weekend Component,Conlon,Spirituality
28,SPIR 404 2,1,Core Course Weekend Component,Conlon,Spirituality
29,SPIR 411B,1,Public Forum,Conlon,Spirituality
30,SPIR 412,1,Sophia Wisdom Circle,Conlon,Spirituality
31,SPIR 413,1,Sophia Praxis,Conlon,Spirituality
32,SPIR 413 3,1,Sophia Praxis,Conlon,Spirituality
33,SPIR 425,1,Visions of the Future,,Spirituality
34,SPIR 427,1,Mystics of Modern World,Flinders,Spirituality
35,SPIR 465,1,Archetypal Mythology in Dreamwork,Friedman,Spirituality
36,SPIR 490B,1,Cosmology & the Human Spirit,Conlon,Spirituality
37,SPIR 491B,1,"Spirit of Earth, Art & Spirit, Weekends",Conlon,Spirituality
38,SPIR 499 1,1,Independent Study: Visions,Conlon,Spirituality
1,BSADA010,1,Principles of Accounting,Jacobus,Business
2,BSADA130,1,Business Management,Stryker,Business
3,BSADA145,1,Human Resource Management,Jorden,Business
4,BSADA161,1,Consumer Behavior,Chen,Business
5,COMMA108W,1,Professional Writing,Schmidt,Communications Studies
6,ECONA001,1,Principles of Economics (Macro),Dave,Economics
7,ECONA002,1,Principles of Economics (Micro),Dave,Economics
8,ECONA015,1,Statistical Methods,Rohrer,Economics
9,ENGLA108W,1,Professional Writing,Schmidt,English
10,PSYCA131,1,Adult Development and Aging,Franskoviak,Psychology
11,RLSTA122,1,"Religion, Philiosophy, and Human Rights",Lassalle-Klein,Religious Studies
1,BSAD 230,1,Advanced Management: Leading Change,Sadler,Business
2,BSAD 237,1,Investments,Xu,Business
3,BSAD 241,1,Environmental Economics,Saez,Business
4,BSAD 250,1,Leadership Development,Stoneham,Business
5,BSAD 261,1,Diverse Consumer Behavior,Chen,Business
6,ENGL 203A,1,History of Composition and Rhetoric,Chapman,English
7,NURS 253L,1,Primary Care Thru Lifespan IV Lab,,Nursing
8,SPIR 254,1,Tai Chi,Dwyer,Spirituality
9,SPIR 297,1,Special Topics: Embodying Ecological Action and Vision,Firpo,Spirituality
1,NURS 214,1,Health Promotion,Mangini Kilborn Ogunlana,Nursing
2,NURS 216,1,Health Economics & Organization Des,Lalchandani,Nursing
3,NURS 216,2,Health Economics & Organization Des,Dukes,Nursing
4,NURS 217A,1,Scientific Inquiry,Canton,Nursing
5,NURS 217A,2,Scientific Inquiry,Williams,Nursing
6,NURS 220,1,Management & Development,Jenkins-Weinrub,Nursing
7,NURS 234B,1,Managing Health Care Delivery,Jenkins-Weinrub,Nursing
8,NURS 240,1,Advanced Health Assessment,Mangini,Nursing
9,NURS 240,2,Advanced Health Assessment,Mangini,Nursing
10,NURS 240L,1,Advanced Health Assessment Lab,Kilborn,Nursing
11,NURS 240L,2,Advanced Health Assessment Lab,Garcia Kilborn,Nursing
12,NURS 240L,3,Advanced Health Assessment Lab,Kilborn Paulson,Nursing
13,NURS 240L,4,Advanced Health Assessment Lab,Kilborn Bird Balassone,Nursing
14,NURS 251AL,1,Primary Care I Lab,,Nursing
15,NURS 251BL,1,Primary Care II Lab,,Nursing
16,NURS 252,1,Primary Care Thru Lifespan III,Kilborn,Nursing
17,NURS 252L,1,Primary Care Thru Lifespan III Lab,,Nursing
18,NURS 265A,1,Clinical Faculty Practicum I,Canton,Nursing
1,EDUC 353B,1,"Using Computers in the K-12 Classroom, Level 1",Pachelo,Education
2,EDUC 359,1,Consultation and Colllaboration for Students with ASD,Waissman,Education
1,NURS 414,1,Hlth Promo/Risk Reduc of Diverse Pop,Mangini,Nursing
2,NURS 420,1,Concept/Theor Nursing Admin/Manage,Jenkins-Weinrub,Nursing
3,NURS 434B,1,Man Hlthcare Del/Div Pop/Comm Env I,Jenkins-Weinrub,Nursing
4,NURS 440,1,Advanced Health Assessment,Mangini,Nursing
5,NURS 440L,1,Advanced Heath Assessment Lab,Kilborn,Nursing
6,NURS 451AL,1,Primary Care I Lab,,Nursing
7,NURS 451BL,1,Primary Care II Lab,,Nursing
8,NURS 452,1,Primary Care Family through Lifespan III,Kilborn,Nursing
9,NURS 452L,1,Primary Care Thru Lifespan III,,Nursing
10,NURS 453L,1,Primary Care Thru Lifespan IV Lab,,Nursing
11,NURS 465A,1,Clinical Faculty Practicum I,Canton,Nursing
12,SPIR 454,1,Tai Chi,Dwyer,Spirituality
13,SPIR 497,1,Special Topics: Embodying Ecological Action and Vision,Firpo,Spirituality
1,BSAD 196 1,1,Internship,Stryker,Business
1,BSADA011,1,Principles of Accounting,Jacobus,Business
2,BSADA018,1,Business Law,Bunter,Business
3,BSADA165,1,Marketing Research,Chen,Business
4,BSADA195W,1,Strategic Management,Ohwobete,Business
5,COMMA108W,1,Professional Writing,,Communications Studies
6,COMMA196,1,Communication Internships,Prentiss,Communications Studies
7,COMMA196 1,1,Communication Internships,Prentiss,Communications Studies
8,COMMA196 2,1,Internship,Prentiss,Communications Studies
9,CSCIA010C,1,Spreadsheets,Bender,Computer Systems
10,ENGLA108W,1,Professional Writing,,English
11,ENGLA121,1,Poetry,Goldweber,English
12,HISTA126,1,"City:Culture, History, & Power",Haine,History
13,PHILA151,1,Ethics: The Problem of Friendship,Gibson,Philosophy
14,RLSTA175,1,World Wisdom Traditions,Truxler,Religious Studies
15,SOCIA160,1,"City:Culture, History, & Power",Haine,Sociology
2,BSAD 243,1,Public Finance and Management,Saez,Business
3,BSAD 253,1,Building Learning Organizations,Sadler Stryker,Business
4,BSAD 260,1,Marketing Management,Proboll,Business
5,BSAD 263,1,The Global Imperative: Strategic Marketing,Chen,Business
6,BSAD 265,1,Marketing Research,Proboll,Business
7,BSAD 295,1,Strategy in Global Environment,Ohwobete,Business
8,CPSY 293,1,Community Mental Health C,Kim,Counseling Psychology
9,EDUC 268B,1,Role of The Eductional Therapist,Marshall,Education
10,ENGL 221,1,Poetry,Goldweber,English
11,ENGL 298,1,Final Project,Schmidt,English
12,NURS 253L,1,Primary Care Thru Lifespan IV Lab,,Nursing
13,SPIR 243,1,Paint. As Spont. Expression,Houck,Spirituality
14,SPIR 262A,1,Indigenous Wisdom Anc. Stories,Walking Tree,Spirituality
1,NURS 217B,1,Capstone,,Nursing
3,NURS 223,1,Finance & Budgeting in Health Care,Maxworthy,Nursing
4,NURS 224,1,Human Resource Management & Develop,Jenkins-Weinrub,Nursing
5,NURS 235,1,Prov Ldrsgip/Hlth Del/Div Pop/Comm II,Jenkins-Weinrub,Nursing
6,NURS 241,1,Primary Care Family Thru Lifespan I,Mangini,Nursing
7,NURS 244,1,Advanced Pharmacology,Jenkins-Weinrub,Nursing
8,NURS 251A,1,Primary Care I,Kilborn,Nursing
9,NURS 251AL,1,Primary Care I Lab,,Nursing
10,NURS 251BL,1,Primary Care II Lab,,Nursing
11,NURS 252L,1,Primary Care Thru Lifespan III Lab,,Nursing
12,NURS 253,1,Pri Care Thru Lifespan III,Mangini,Nursing
13,NURS 261,1,Theories Of Nursing,Jenkins-Weinrub,Nursing
14,NURS 262,1,Teaching Strategies,,Nursing
15,NURS 265B,1,Clinical Faculty Pract II,Canton,Nursing
1,EDUC 375,1,US: Constitution Prep,Patrinos,Education
2,EDUC 393A,1,Health Education for Teachers,Clayton,Education
1,EDUC 468B,1,Role of the Educational Therapist,Marshall,Education
2,NURS 423,1,Finance and Budgeting in Healthcare,Maxworthy,Nursing
3,NURS 424,1,Human Resource Manage/Develop,Jenkins-Weinrub,Nursing
4,NURS 435,1,Prov Ldrship/Hlth Dev/Div Pop/Comm II,Jenkins-Weinrub,Nursing
5,NURS 441,1,Primary Care Family Thru Lifespan I,Mangini,Nursing
6,NURS 444,1,Advanced Pharmacology,Corpuz,Nursing
7,NURS 451A,1,Primary Care Family/life:Role Perf I,Kilborn,Nursing
8,NURS 451AL,1,Primary Care I Lab,,Nursing
9,NURS 451BL,1,Primary Care II Lab,,Nursing
10,NURS 452L,1,Primary Care Thru Lifespan III,,Nursing
11,NURS 453,1,Primary Care Thru Lifespan IV,Mangini,Nursing
12,NURS 453L,1,Primary Care Thru Lifespan IV Lab,,Nursing
13,NURS 461,1,Concepts & Theories,Jenkins-Weinrub,Nursing
14,NURS 462,1,Teaching Strategies,,Nursing
15,NURS 465B,1,Clinical Faculty Practicum II,Canton,Nursing
16,SPIR 443,1,Painting as Spontaneous Expression,Houck,Spirituality
17,SPIR 462A,1,IndigenousWisdomThruAncestralStories,Walking Tree,Spirituality
